transaction_id,date,product_id,store_id,customer_id,quantity,discount,returned
T0000002,2020-08-16,P006662,S003,C022472,1,0.0,0
T0000003,2020-02-21,P043402,S005,C016135,4,0.0,0
T0000008,2020-10-12,P013477,S003,C000971,1,0.2,0
T0000010,2020-07-28,P017086,S002,C013109,4,0.0,1
T0000014,2020-06-27,P035161,S004,C000260,4,0.0,0
T0000017,2020-03-06,P023494,S002,C020786,4,0.0,0
T0000018,2020-03-02,P041609,S003,,1,,0
T0000019,2020-07-10,P041217,S004,,3,0.2,0
T0000024,2020-02-24,P034054,S001,C024799,1,0.0,0
T0000038,2020-01-14,P019343,S004,C018290,2,0.0,0
T0000041,2020-11-22,P011609,S002,C007200,3,0.0,0
T0000046,2020-11-14,P044712,S004,C000683,3,0.0,0
T0000050,2020-07-28,P023585,S003,C005163,3,0.1,0
T0000051,2020-07-08,P023652,S001,C013359,4,0.1,0
T0000053,2020-07-17,P043429,S001,C008620,2,0.0,0
T0000060,2020-03-29,P016059,S002,C013209,2,0.1,0
T0000064,2020-09-12,P026359,S003,C010093,1,0.0,0
T0000066,2020-06-10,P021864,S004,C022174,2,0.3,0
T0000078,2020-05-22,P040809,S004,C010917,2,0.0,0
T0000079,2020-04-03,P001675,S005,C021940,1,0.0,1
T0000084,2020-06-12,P008143,S005,,1,0.3,0
T0000088,2020-07-25,P005535,S002,C014899,3,0.1,0
T0000095,2020-11-29,P015749,S002,C007400,1,0.0,0
T0000104,2020-05-26,P019694,S002,C011571,1,0.0,1
T0000107,2020-12-16,P005756,S004,C024139,3,0.1,0
T0000111,2020-11-30,P011935,S005,C014408,1,0.0,0
T0000124,2020-04-24,P045311,S002,C001070,1,0.0,0
T0000127,2020-03-06,P023071,S001,C009765,4,0.0,0
T0000132,2020-05-15,P048881,S005,C016277,3,0.0,0
T0000145,2020-10-19,P037145,S002,C017825,4,0.0,0
T0000147,2020-10-12,P017843,S002,C015373,4,0.1,0
T0000160,2020-10-10,P004322,S005,C020617,4,0.0,0
T0000163,2020-07-05,P019788,S002,C024880,1,,0
T0000165,2020-04-06,P045932,S003,C019176,1,0.0,0
T0000167,2020-08-12,P040976,S002,C015179,3,0.2,0
T0000168,2020-11-09,P022340,S002,C018902,1,0.2,0
T0000170,2020-11-23,P016425,S002,C023986,1,0.0,0
T0000175,2020-05-10,P042607,S003,C011265,1,0.1,1
T0000184,2020-01-24,P012722,S001,C022596,3,0.0,0
T0000187,2020-08-22,P041283,S001,C012740,2,0.0,1
T0000196,2020-08-16,P014523,S002,C003212,2,0.0,0
T0000199,2020-11-19,P003358,S001,C010484,1,0.0,1
T0000201,2020-01-07,P010742,S004,C018516,3,0.1,0
T0000208,2020-12-31,P023520,S005,C014530,2,0.0,0
T0000210,2020-08-05,P005857,S004,C021535,1,0.0,0
T0000219,2020-11-09,P025231,S005,C015134,4,0.3,0
