transaction_id,date,product_id,store_id,customer_id,quantity,discount,returned
T0000005,2021-07-17,P002476,S003,C005857,4,0.0,0
T0000006,2021-05-16,P029990,S005,C008363,3,0.1,0
T0000007,2021-04-02,P012742,S004,C009301,4,0.0,0
T0000020,2021-03-23,P027083,S002,C010490,3,0.0,0
T0000021,2021-04-21,P001095,S005,C015618,3,0.0,0
T0000026,2021-02-11,P009765,S002,C010101,1,0.0,1
T0000032,2021-03-27,P024763,S001,C018314,1,0.3,0
T0000035,2021-07-23,P000480,S001,C001121,2,,0
T0000044,2021-11-27,P022170,S001,C024256,3,0.0,0
T0000045,2021-07-23,P021385,S005,C017185,3,0.0,0
T0000047,2021-03-16,P025344,S003,C021202,1,0.0,0
T0000049,2021-11-20,P025948,S005,C004385,3,0.1,0
T0000056,2021-12-05,P034375,S002,,2,0.1,0
T0000058,2021-06-25,P005314,S005,C001836,1,0.3,0
T0000068,2021-08-23,P040214,S004,C020319,1,0.0,0
T0000076,2021-01-28,P026583,S003,C020747,2,0.0,0
T0000081,2021-04-11,P045247,S003,C010681,4,0.2,0
T0000083,2021-08-15,P019849,S005,C011508,3,0.2,0
T0000086,2021-04-21,P010632,S001,C005579,3,0.0,0
T0000090,2021-07-23,P001672,S005,C006813,1,0.1,0
T0000097,2021-12-28,P047695,S002,C011695,4,0.0,0
T0000098,2021-03-05,P047438,S002,C000610,2,0.0,0
T0000100,2021-06-30,P022424,S003,C004289,2,0.0,0
T0000110,2021-05-16,P037676,S002,C009061,1,0.2,0
T0000114,2021-07-06,P018064,S004,C014472,4,0.3,1
T0000118,2021-03-25,P023526,S001,C002657,1,0.0,0
T0000120,2021-10-26,P047765,S004,C020900,4,0.0,0
T0000125,2021-04-14,P018808,S005,C003791,3,0.2,0
T0000129,2021-10-08,P005797,S001,C012462,2,0.0,0
T0000131,2021-07-02,P038916,S002,C014419,1,0.0,0
T0000133,2021-03-08,P036566,S003,C017449,1,0.0,0
T0000137,2021-10-06,P040519,S001,C011146,2,0.3,0
T0000138,2021-03-11,P021436,S001,C004850,1,0.0,0
T0000146,2021-06-26,P009104,S002,C002704,3,0.1,0
T0000148,2021-05-20,P037175,S002,C000300,1,0.1,0
T0000152,2021-06-22,P005085,S003,C024628,3,0.0,0
T0000159,2021-03-25,P028980,S001,C003163,3,0.0,0
T0000181,2021-05-29,P043166,S002,C010142,3,0.0,0
T0000192,2021-06-30,P029924,S003,,4,0.0,0
T0000195,2021-11-27,P011231,S002,C020086,4,0.1,0
T0000197,2021-08-24,P029837,S003,C008130,4,0.2,0
T0000205,2021-06-23,P008412,S001,C008894,2,0.0,0
T0000213,2021-09-03,P030654,S001,C013244,3,0.1,1
T0000218,2021-02-11,P036938,S001,C010342,3,0.0,0
T0000228,2021-10-25,P013761,S004,C010340,2,0.0,0
T0000236,2021-09-21,P020297,S003,C003009,1,0.1,0
T0000237,2021-05-05,P024906,S005,C014229,4,0.0,0
T0000239,2021-05-08,P004919,S001,C018869,3,,0
T0000257,2021-06-26,P044899,S003,C002355,4,0.0,0
T0000262,2021-03-09,P007574,S003,C005479,4,0.1,0
T0000267,2021-02-15,P004721,S001,,2,0.0,0
T0000269,2021-09-30,P000791,S004,C023304,4,0.1,0
T0000278,2021-05-22,P020268,S001,C000696,2,0.0,0
T0000279,2021-04-05,P047781,S005,C003442,2,0.1,0
T0000281,2021-11-23,P008974,S003,C024560,2,0.0,0
T0000285,2021-04-16,P005570,S001,C024304,4,0.1,0
T0000287,2021-03-27,P049025,S004,C001733,3,0.1,0
T0000293,2021-04-13,P012396,S001,C021544,1,0.0,0
T0000297,2021-11-07,P036639,S005,C016548,2,0.2,0
T0000300,2021-05-02,P031188,S001,C013492,2,0.0,0
T0000301,2021-07-24,P026159,S001,C010355,4,0.0,0
T0000304,2021-03-14,P001879,S004,C003722,2,0.0,0
T0000312,2021-05-12,P024344,S004,C015172,3,0.0,1
T0000317,2021-01-24,P010722,S003,C008806,3,0.0,0
T0000322,2021-12-26,P001897,S003,C019004,1,0.0,0
T0000336,2021-11-25,P029162,S002,C002660,4,0.0,0
T0000340,2021-05-24,P004471,S001,C014777,2,,0
T0000341,2021-01-27,P026500,S003,C008174,4,0.0,0
T0000342,2021-01-24,P004822,S001,C000539,2,0.0,0
T0000347,2021-01-10,P042565,S003,,1,0.0,0
T0000348,2021-07-24,P008901,S001,C021261,2,0.0,0
T0000350,2021-05-26,P010231,S005,C010196,4,0.0,0
T0000367,2021-04-29,P033527,S005,C009682,3,0.0,0
T0000372,2021-03-13,P008206,S003,C007570,2,0.0,0
T0000380,2021-06-27,P036725,S004,C004479,2,,0
T0000384,2021-08-07,P013587,S005,C010084,3,0.0,0
T0000394,2021-01-23,P040282,S002,C019809,1,0.2,0
T0000395,2021-08-30,P014753,S004,C023627,2,0.0,1
T0000396,2021-03-21,P015796,S003,C016054,3,0.0,0
T0000403,2021-10-04,P005372,S002,C002151,2,0.2,0
T0000416,2021-01-15,P047043,S003,C011542,2,0.0,0
T0000422,2021-04-26,P048227,S001,,1,0.0,1
T0000427,2021-05-19,P045305,S001,C017180,3,0.1,0
T0000438,2021-10-09,P019960,S002,C012896,3,0.0,0
T0000439,2021-06-18,P017274,S003,C014141,2,0.0,0
T0000440,2021-02-22,P042691,S999,C018648,3,0.2,0
T0000443,2021-10-05,P040475,S003,C000257,2,0.0,0
T0000444,2021-05-03,P009991,S002,C015189,4,0.0,0
T0000445,2021-06-27,P013267,S004,C016294,3,,0
T0000450,2021-09-06,P015529,S003,C017334,4,0.1,1
T0000452,2021-10-09,P032356,S001,C012426,4,0.0,0
T0000462,2021-03-12,P016789,S002,C019129,3,0.3,0
T0000464,2021-06-27,P045474,S002,C000775,4,0.1,0
T0000466,2021-12-15,P025438,S001,C003403,3,0.0,0
T0000470,2021-05-15,P020832,S003,C004437,2,0.0,0
T0000472,2021-08-06,P039045,S004,C010381,3,0.0,0
T0000478,2021-09-11,P022282,S002,,1,0.1,0
T0000487,2021-09-05,P009847,S001,C024013,1,0.0,0
T0000492,2021-06-25,P013333,S002,C006821,4,0.0,0
T0000499,2021-07-11,P047789,S005,C020515,1,0.0,0
T0000500,2021-07-31,P039870,S001,C002893,1,0.1,0
T0000502,2021-03-07,P027403,S005,C006058,2,0.0,0
T0000504,2021-12-03,P042935,S004,C011507,4,0.1,0
T0000505,2021-02-20,P020258,S001,C015217,1,0.0,1
T0000509,2021-06-24,P020822,S002,C006597,2,0.0,0
T0000512,2021-05-29,P008198,S004,C019095,4,0.2,0
T0000519,2021-07-20,P046300,S002,C014142,3,0.0,0
T0000522,2021-11-14,P040344,S002,C010180,3,0.0,0
T0000526,2021-06-20,P017028,S002,C023066,2,0.3,0
T0000550,2021-09-23,P025239,S002,C002906,2,0.1,0
T0000556,2021-03-06,P019981,S005,C015243,4,0.0,0
