transaction_id,date,product_id,store_id,customer_id,quantity,discount,returned
T0000016,2022-05-14,P045344,S001,C013538,4,0.2,1
T0000022,2022-10-31,P038967,S004,C000704,1,0.1,0
T0000031,2022-05-09,P023373,S003,C014849,4,0.1,1
T0000033,2022-07-08,P040513,S004,C021637,4,0.0,0
T0000043,2022-05-15,P001066,S005,C023088,1,0.0,0
T0000052,2022-02-17,P015414,S005,C005907,4,0.2,1
T0000054,2022-01-05,P029008,S002,C018231,3,0.1,0
T0000062,2022-07-29,P017159,S004,C014217,3,0.2,0
T0000065,2022-02-14,P039116,S002,C000365,2,0.0,0
T0000074,2022-01-10,P007205,S001,C021719,2,0.0,1
T0000089,2022-02-17,P034298,S005,C002964,4,0.2,0
T0000091,2022-07-17,P037515,S005,C006552,2,0.0,1
T0000094,2022-01-17,P021739,S002,C013100,4,0.0,0
T0000096,2022-01-28,P004624,S002,C022510,2,0.0,0
T0000108,2022-12-29,P010074,S003,C016445,4,0.0,0
T0000112,2022-08-04,P022733,S004,C001967,3,0.0,0
T0000113,2022-02-16,P011048,S999,C000513,3,0.1,0
T0000130,2022-04-01,P049759,S002,C007923,3,0.1,0
T0000140,2022-10-19,P010896,S005,C020138,2,0.0,0
T0000141,2022-03-21,P004366,S003,C009661,4,0.1,0
T0000144,2022-07-28,P031824,S004,C004233,3,0.0,0
T0000155,2022-05-27,P008216,S002,C004556,1,0.3,0
T0000157,2022-03-28,P015124,S004,C016863,4,0.0,0
T0000158,2022-01-11,P018718,S002,C022101,4,0.1,0
T0000161,2022-11-09,P020504,S001,,4,0.0,0
T0000162,2022-10-07,P003319,S001,C006702,1,0.1,0
T0000173,2022-05-14,P048340,S001,C006874,2,0.0,0
T0000176,2022-02-27,P045553,S003,C006481,3,0.0,0
T0000177,2022-02-20,P009591,S001,C012633,4,0.0,0
T0000179,2022-08-16,P015948,S005,,3,,0
T0000180,2022-12-19,P007626,S001,C010681,3,0.1,0
T0000198,2022-06-09,P001961,S004,C008338,1,0.0,0
T0000200,2022-07-18,P030229,S001,C009063,3,0.0,0
T0000206,2022-10-22,P020071,S002,C024310,4,0.0,1
T0000209,2022-11-05,P048749,S002,C004097,2,0.0,0
T0000216,2022-11-05,P037793,S002,C021528,1,0.0,0
T0000220,2022-02-04,P022763,S003,C002184,4,0.0,0
T0000225,2022-12-22,P043650,S004,C004248,1,0.0,0
T0000229,2022-09-27,P018902,S005,C016645,4,0.0,0
T0000232,2022-01-13,P046950,S002,C004290,2,0.0,0
T0000245,2022-09-22,P006784,S001,C012370,3,0.0,0
T0000249,2022-12-26,P013863,S001,C024603,3,0.2,0
T0000254,2022-08-31,P007477,S002,C024903,1,0.2,0
T0000258,2022-12-16,P005960,S005,C001642,4,0.1,0
T0000261,2022-05-16,P001032,S001,C020574,1,0.1,1
T0000270,2022-03-28,P039000,S001,C000395,4,0.0,0
T0000273,2022-02-03,P036124,S005,C016086,1,0.1,0
T0000274,2022-06-16,P012769,S003,C021003,3,0.2,0
T0000275,2022-11-25,P005656,S001,C010681,1,0.0,0
T0000276,2022-07-13,P031191,S004,C008992,1,0.2,0
T0000299,2022-11-18,P016797,S004,C020722,3,0.0,0
T0000303,2022-09-21,P040975,S002,C024341,3,0.1,1
T0000311,2022-08-26,P039247,S004,C021359,2,0.0,0
T0000314,2022-08-26,P047975,S002,C017121,4,0.0,0
T0000316,2022-04-13,P020790,S005,C000432,1,0.0,0
T0000321,2022-06-01,P040919,S001,C019782,3,0.0,1
T0000323,2022-05-17,P026959,S005,C021992,1,0.0,0
T0000324,2022-04-21,P039281,S002,C014217,1,0.0,0
T0000325,2022-08-14,P005903,S004,C004839,3,0.0,0
T0000334,2022-04-04,P017989,S003,C006964,4,0.0,0
T0000344,2022-07-07,P038530,S005,C015315,2,0.0,0
T0000346,2022-05-14,P041302,S002,C005594,3,0.0,0
T0000349,2022-08-05,P013609,S003,C023673,2,0.2,1
T0000353,2022-06-26,P038416,S003,C019226,1,0.1,0
T0000369,2022-04-12,P022980,S001,C016376,4,0.2,0
T0000370,2022-09-21,P015104,S001,C008068,1,0.0,0
T0000371,2022-09-12,P015276,S003,C013351,2,0.2,0
T0000374,2022-04-01,P033506,S005,C022589,3,0.2,0
T0000377,2022-02-15,P012444,S001,C022847,1,0.0,0
T0000379,2022-03-10,P041319,S005,C003537,1,0.0,0
T0000383,2022-07-20,P016523,S005,C014559,1,0.0,0
T0000385,2022-05-16,P027418,S003,,2,0.0,0
T0000392,2022-09-23,P033362,S004,C000100,2,0.1,0
T0000407,2022-09-03,P024410,S005,C000114,2,0.0,0
T0000408,2022-10-26,P000432,S005,C002558,2,0.3,1
T0000410,2022-12-23,P039687,S001,C020726,4,0.1,0
T0000413,2022-11-06,P022984,S003,C016090,1,0.0,0
T0000423,2022-04-06,P002288,S004,C000204,3,0.1,1
T0000433,2022-05-08,P001994,S001,C005573,3,0.0,0
T0000437,2022-12-06,P018936,S005,C024222,4,,0
T0000446,2022-03-21,P001397,S001,C002924,2,0.0,0
T0000451,2022-07-25,P027858,S001,C005748,3,0.0,0
T0000456,2022-07-27,P046612,S004,C019309,1,0.2,0
T0000463,2022-11-02,P016499,S003,C024159,3,0.0,0
T0000471,2022-01-26,P002032,S005,C017648,1,0.0,0
T0000474,2022-06-16,P007397,S005,C022402,1,0.0,1
T0000482,2022-12-19,P021799,S001,C016144,2,0.3,1
T0000510,2022-11-01,P007429,S005,C013243,4,0.0,0
T0000511,2022-09-27,P041111,S004,C020228,2,0.0,0
T0000517,2022-05-17,P020784,S003,C014488,1,0.1,1
T0000529,2022-06-23,P005930,S005,C008046,1,0.0,0
T0000532,2022-05-25,P022763,S005,C016851,1,0.1,0
T0000543,2022-01-26,P034174,S001,C017793,3,0.0,0
